time,gps_fix,lora_ok,lat,lon,alt_m,speed_ms,temp_c,pressure_pa,pitch,roll,yaw,ax,ay,az,gx,gy,gz
17:37:00,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101292.8,-3.78,-2.60,0,0.04833984,-0.0703125,1.063721,-1.763359,3.160305,0.3358779
17:37:01,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101292.1,-3.81,-2.53,0,0.04711914,-0.07080078,1.064453,-1.70229,3.259542,0.2977099
17:37:01,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101290.7,-3.74,-2.55,0,0.04760742,-0.06958008,1.065186,-2.114504,3.274809,0.3664122
17:37:01,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101290.1,-3.77,-2.47,0,0.04614258,-0.0703125,1.065674,-1.801527,3.244275,0.3587786
17:37:01,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101289.7,-3.42,-2.51,0,0.04663086,-0.06347656,1.062012,-1.717557,3.022901,0.08396947
17:37:02,1,0,N22.17587,E113.07315,10.0,0.0,30.7,101289.3,-3.80,-2.50,0,0.04638672,-0.07055664,1.061768,-2.007634,3.312977,0.0610687
17:37:02,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101290.6,-3.82,-2.59,0,0.0480957,-0.07104492,1.062744,-1.847328,3.114504,0.2442748
17:37:02,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101291.6,-3.63,-2.43,0,0.04541016,-0.06762695,1.066406,-1.80916,3.099237,0.4274809
17:37:02,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101289.8,-3.73,-2.39,0,0.04443359,-0.0690918,1.061035,-1.908397,3.442748,0.4351145
17:37:02,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101290.6,-3.73,-2.54,0,0.04711914,-0.0690918,1.060303,-1.641221,3.198473,0.4732824
17:37:03,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101291.3,-3.59,-2.52,0,0.046875,-0.06665039,1.062988,-1.694656,3.282443,0.2977099
17:37:03,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101290.3,-3.65,-2.56,0,0.04785156,-0.06811523,1.068359,-1.824428,3.022901,0.6335878
17:37:03,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101290.5,-3.62,-2.56,0,0.04760742,-0.06738281,1.064697,-1.763359,3.259542,0.351145
17:37:03,1,0,N22.17587,E113.07315,10.1,0.0,30.7,101287.9,-3.81,-2.60,0,0.04833984,-0.07080078,1.063721,-1.664122,3.274809,0.007633588
17:37:04,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101289.7,-3.68,-2.55,0,0.04736328,-0.06811523,1.060059,-1.916031,3.259542,0.2290076
17:37:04,1,0,N22.17587,E113.07315,10.0,0.0,30.7,101289.3,-3.67,-2.54,0,0.04711914,-0.06811523,1.061768,-1.969466,3.320611,0.5496183
17:37:04,1,0,N22.17587,E113.07315,10.0,0.0,30.7,101289.3,-3.59,-2.56,0,0.04760742,-0.06665039,1.062012,-1.931298,3.267176,0.3129771
17:37:04,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101290.6,-3.70,-2.36,0,0.04370117,-0.06860352,1.060303,-1.916031,3.335878,0.7633588
17:37:04,1,0,N22.17587,E113.07315,10.0,0.0,30.7,101289.3,-3.74,-2.51,0,0.046875,-0.06958008,1.065674,-1.992366,3.114504,0.1068702
17:37:05,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101292.2,-3.73,-2.47,0,0.04589844,-0.06933594,1.0625,-2.129771,3.175573,0.4885496
17:37:05,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101292.6,-3.61,-2.39,0,0.04443359,-0.06689453,1.060791,-1.603053,3.343511,-0.03053435
17:37:05,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101290.6,-3.91,-2.42,0,0.04516602,-0.07275391,1.06543,-1.931298,3.114504,0.5572519
17:37:05,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101290.2,-3.67,-2.56,0,0.04760742,-0.06811523,1.061035,-1.89313,3.282443,0.5877862
17:37:06,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101290.2,-3.68,-2.68,0,0.05004883,-0.06860352,1.067627,-1.656489,3.282443,0.1908397
17:37:06,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101289.4,-3.56,-2.55,0,0.04760742,-0.06640625,1.068848,-1.748092,3.274809,0.3206107
17:37:06,1,0,N22.17587,E113.07315,10.0,0.0,30.7,101288.9,-3.70,-2.63,0,0.04882813,-0.06860352,1.061035,-1.854962,3.396947,0.3282443
17:37:06,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101290.2,-3.65,-2.61,0,0.04882813,-0.06811523,1.067627,-1.946565,3.122137,0.2748091
17:37:06,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101289.8,-3.72,-2.35,0,0.04370117,-0.0690918,1.061279,-1.770992,3.40458,0.2748091
17:37:07,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101292.2,-3.70,-2.53,0,0.04711914,-0.06884766,1.065186,-1.847328,3.167939,0.2213741
17:37:07,1,0,N22.17587,E113.07315,9.6,0.0,30.7,101293.6,-3.69,-2.47,0,0.04589844,-0.06860352,1.063721,-1.541985,3.10687,0.2137404
17:37:07,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101290.6,-3.84,-2.64,0,0.04931641,-0.07177734,1.068848,-2.091603,3.152672,0.1145038
17:37:07,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101289.4,-3.69,-2.29,0,0.04272461,-0.06884766,1.066162,-1.641221,3.183206,0.1221374
17:37:08,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101289.8,-3.52,-2.59,0,0.0480957,-0.06542969,1.063232,-1.877863,3.374046,0.519084
17:37:08,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101289.4,-3.53,-2.35,0,0.04370117,-0.06542969,1.062012,-2.045802,3.160305,0.2213741
17:37:08,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101289.8,-3.70,-2.22,0,0.04125977,-0.06860352,1.060303,-1.740458,3.282443,0.3587786
17:37:08,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101290.2,-3.63,-2.45,0,0.0456543,-0.06738281,1.063477,-2.007634,3.412214,0.3053435
17:37:08,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101289.8,-3.60,-2.37,0,0.04443359,-0.06738281,1.069824,-1.793893,3.167939,0.5419847
17:37:09,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101289.9,-3.72,-2.43,0,0.04541016,-0.06933594,1.065674,-2.145038,3.335878,0.1984733
17:37:09,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101291.3,-3.78,-2.37,0,0.04394531,-0.07006836,1.060059,-1.473282,3.267176,-0.007633588
17:37:09,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101291.0,-3.47,-2.56,0,0.04760742,-0.06445313,1.062012,-1.625954,3.183206,0.1374046
17:37:09,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101290.6,-3.94,-2.46,0,0.04589844,-0.07348633,1.067383,-1.923664,3.290076,0.2977099
17:37:10,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101290.6,-3.69,-2.46,0,0.04589844,-0.06860352,1.064209,-1.679389,3.175573,0.4198473
17:37:10,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101290.6,-3.76,-2.75,0,0.05126953,-0.06982422,1.063477,-1.717557,3.312977,0.05343511
17:37:10,1,0,N22.17587,E113.07315,10.0,0.0,30.7,101288.9,-3.75,-2.56,0,0.04760742,-0.06982422,1.064209,-1.656489,3.465649,0.259542
17:37:10,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101290.2,-3.61,-2.59,0,0.04858398,-0.06762695,1.070557,-1.816794,3.206107,0.1832061
17:37:10,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101290.2,-3.60,-2.46,0,0.0456543,-0.06665039,1.060303,-1.961832,3.267176,0.3435115
17:37:11,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101292.2,-3.80,-2.54,0,0.04736328,-0.07080078,1.065674,-1.603053,3.10687,0.3129771
17:37:11,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101292.6,-3.60,-2.42,0,0.04516602,-0.06689453,1.064453,-1.923664,3.076336,-0.0610687
17:37:11,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101292.4,-3.81,-2.61,0,0.04882813,-0.07104492,1.067871,-1.954198,3.290076,0.2442748
17:37:11,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101290.2,-3.68,-2.61,0,0.04833984,-0.06811523,1.058105,-2.045802,3.40458,0.5801527
17:37:12,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101289.4,-3.75,-2.49,0,0.04663086,-0.07006836,1.068604,-1.801527,3.198473,0.3435115
17:37:12,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101292.1,-3.66,-2.53,0,0.046875,-0.06787109,1.059814,-1.946565,3.175573,0.4274809
17:37:12,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101291.7,-3.81,-2.62,0,0.04907227,-0.07104492,1.068115,-1.748092,3.229008,0.2748091
17:37:12,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101292.1,-3.58,-2.76,0,0.05126953,-0.06640625,1.061523,-1.839695,3.145038,0.3129771
17:37:12,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101292.1,-3.50,-2.77,0,0.05151367,-0.06494141,1.063232,-1.923664,3.305344,0.1374046
17:37:13,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101291.8,-3.69,-2.55,0,0.04760742,-0.06860352,1.064941,-1.862595,3.412214,0.4045802
17:37:13,1,0,N22.17587,E113.07315,9.6,0.0,30.7,101293.6,-3.66,-2.60,0,0.04858398,-0.06835938,1.069336,-1.908397,3.366412,0.5801527
17:37:13,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101290.6,-3.70,-2.52,0,0.046875,-0.06860352,1.062012,-1.832061,3.145038,0.2824428
17:37:14,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101290.2,-3.65,-2.39,0,0.04467773,-0.06811523,1.066895,-1.671756,3.351145,0.3740458
17:37:14,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101290.8,-3.71,-2.50,0,0.04638672,-0.06884766,1.061279,-1.954198,3.366412,0.2977099
17:37:14,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101291.2,-3.51,-2.49,0,0.04614258,-0.06494141,1.05835,-1.946565,3.343511,0.3053435
17:37:14,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101290.2,-3.73,-2.48,0,0.04614258,-0.0690918,1.061035,-1.931298,3.152672,0.3664122
17:37:14,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101289.8,-3.59,-2.54,0,0.04760742,-0.06713867,1.070557,-1.770992,3.137405,0.4503817
17:37:15,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101291.8,-3.60,-2.57,0,0.04785156,-0.06689453,1.063965,-1.793893,3.129771,0.3129771
17:37:15,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101292.2,-3.77,-2.32,0,0.04321289,-0.07006836,1.063477,-1.717557,3.19084,0.4503817
17:37:15,1,0,N22.17587,E113.07315,9.8,0.0,30.7,101290.6,-3.62,-2.55,0,0.04736328,-0.06713867,1.0625,-2.015267,3.328244,0.08396947
17:37:15,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101290.2,-3.69,-2.53,0,0.04736328,-0.06884766,1.067871,-2.053435,3.29771,0.4122138
17:37:16,1,0,N22.17587,E113.07315,10.0,0.0,30.7,101290.2,-3.59,-2.38,0,0.04394531,-0.06616211,1.055176,-1.961832,3.374046,0.1908397
17:37:16,1,0,N22.17587,E113.07315,10.0,0.0,30.7,101290.2,-3.59,-2.59,0,0.04858398,-0.06713867,1.070557,-1.923664,3.083969,0.1984733
17:37:16,1,0,N22.17587,E113.07315,9.9,0.0,30.7,101290.6,-3.76,-2.58,0,0.04785156,-0.06958008,1.058838,-1.923664,3.083969,0.2442748
17:37:16,1,0,N22.17587,E113.07315,10.0,0.0,30.7,101289.8,-3.79,-2.56,0,0.04736328,-0.07006836,1.059082,-2.145038,3.274809,0.3129771
17:37:16,1,0,N22.17587,E113.07315,10.0,0.0,30.7,101290.2,-3.67,-2.51,0,0.04663086,-0.06811523,1.063232,-1.763359,3.183206,0.4961832
17:37:17,1,0,N22.17587,E113.07315,9.7,0.0,30.7,101293.6,-3.64,-2.43,0,0.04541016,-0.06787109,1.067871,-2.045802,3.122137,0.351145
17:37:17,1,0,N22.17586,E113.07315,9.8,0.0,30.7,101292.6,-3.81,-2.39,0,0.04467773,-0.07104492,1.067383,-1.755725,3.175573,0.2213741
17:37:17,1,0,N22.17586,E113.07315,9.9,0.0,30.7,101290.6,-3.54,-2.51,0,0.046875,-0.06591797,1.065186,-1.908397,3.160305,0.08396947
17:37:17,1,0,N22.17586,E113.07315,10.0,0.0,30.7,101289.8,-3.68,-2.45,0,0.0456543,-0.06835938,1.062988,-1.580153,3.305344,0.3053435
17:37:18,1,0,N22.17586,E113.07315,10.0,0.0,30.7,101290.2,-3.71,-2.57,0,0.04785156,-0.0690918,1.064697,-1.931298,3.160305,0.259542
